id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
389,Darwin Núñez Ribeiro,71,38.2,27,2.5,2.8,a,0.87,FWD,LIV
390,Diogo Teixeira da Silva,72,31.6,35,5.0,0.0,d,1.28,MID,LIV
391,Ben Doak,45,0.0,0,0.0,0.0,u,0.0,MID,LIV
392,Harvey Elliott,52,0.6,2,1.0,0.2,a,0.0,MID,LIV
393,Endo Wataru,47,2.6,6,1.0,0.5,a,0.0,MID,LIV
394,Cody Gakpo,71,49.6,34,2.4,3.2,a,0.88,FWD,LIV
395,Joe Gomez,48,11.7,10,2.0,1.8,a,0.85,DEF,LIV
396,Ryan Gravenberch,50,41.8,35,2.5,2.8,a,1.02,MID,LIV
397,Curtis Jones,53,46.4,38,3.5,3.2,a,0.96,MID,LIV
398,Caoimhin Kelleher,46,19.7,37,4.6,5.5,a,1.0,GKP,LIV
399,Ibrahima Konaté,53,34.2,46,3.8,1.5,i,1.02,DEF,LIV
400,Luis Díaz,75,82.1,72,5.1,2.8,a,1.03,MID,LIV
401,Mohamed Salah,133,180.8,151,10.8,14.5,a,1.03,MID,LIV
402,Alexis Mac Allister,62,50.9,25,1.8,2.0,s,1.1,MID,LIV
403,James McConnell,44,0.0,0,0.0,0.0,a,0.0,MID,LIV
404,Tyler Morton,44,0.0,0,0.0,0.0,a,0.0,MID,LIV
405,Nathaniel Phillips,40,0.0,0,0.0,0.0,u,0.0,DEF,LIV
406,Jarell Quansah,39,4.6,2,0.7,0.2,a,1.18,DEF,LIV
407,Rhys Williams,40,0.0,0,0.0,0.0,u,0.0,DEF,LIV
408,Andrew Robertson,59,55.8,47,3.6,4.0,a,1.05,DEF,LIV
409,Dominik Szoboszlai,63,66.9,41,2.9,3.8,a,0.95,MID,LIV
410,Konstantinos Tsimikas,46,13.5,13,2.2,0.0,d,0.79,DEF,LIV
411,Virgil van Dijk,64,53.3,64,4.6,3.5,a,1.0,DEF,LIV
412,Federico Chiesa,68,1.6,1,1.0,0.0,d,0.0,MID,LIV
413,Vítezslav Jaros,40,0.9,1,1.0,0.0,a,0.0,GKP,LIV
414,Harvey Davies,40,0.0,0,0.0,0.0,a,0.0,GKP,LIV
415,Treymaurice Nyoni,45,0.0,0,0.0,0.0,a,0.0,MID,LIV
416,Amara Nallo,40,0.0,0,0.0,0.0,a,0.0,DEF,LIV
417,Manuel Akanji,54,40.0,23,1.9,0.0,d,1.07,DEF,MCI
418,Nathan Aké,53,6.7,9,1.8,1.8,d,0.91,DEF,MCI
419,Bernardo Veiga de Carvalho e Silva,63,102.2,44,3.1,3.0,a,0.98,MID,MCI
420,Oscar Bobb,47,0.0,0,0.0,0.0,i,0.0,MID,MCI
421,Scott Carson,40,0.0,0,0.0,0.0,a,0.0,GKP,MCI
422,Kevin De Bruyne,94,67.4,34,4.2,4.0,a,0.95,MID,MCI
423,Jérémy Doku,62,56.9,36,3.6,3.5,a,1.03,MID,MCI
424,Ederson Santana de Moraes,55,27.2,33,2.8,0.5,a,1.0,GKP,MCI
425,Phil Foden,91,49.8,19,1.9,1.2,d,0.86,MID,MCI
426,Jack Grealish,64,51.9,20,2.0,1.2,a,0.98,MID,MCI
427,Joško Gvardiol,62,85.9,56,4.3,1.8,a,0.96,DEF,MCI
428,Erling Haaland,150,149.1,91,6.5,3.5,a,1.0,FWD,MCI
429,Julián Álvarez,70,0.0,0,0.0,0.0,u,0.0,FWD,MCI
430,João Cavaco Cancelo,53,0.0,0,0.0,0.0,u,0.0,DEF,MCI
431,Mateo Kovačić,54,59.3,45,4.1,0.8,i,1.03,MID,MCI
432,Rico Lewis,47,35.2,32,2.5,0.5,a,1.05,DEF,MCI
433,Matheus Luiz Nunes,49,28.9,19,1.9,0.8,a,1.04,MID,MCI
434,James McAtee,46,0.3,2,1.0,0.2,a,0.0,MID,MCI
435,Stefan Ortega Moreno,52,6.3,9,4.5,2.2,a,1.0,GKP,MCI
436,Rodrigo 'Rodri' Hernandez,63,2.8,2,1.0,0.0,i,1.38,MID,MCI
437,Rúben Gato Alves Dias,54,36.5,26,2.4,1.8,a,0.99,DEF,MCI
438,John Stones,53,18.7,20,2.9,0.0,i,0.95,DEF,MCI
439,Kyle Walker,52,28.4,10,1.0,0.8,a,0.91,DEF,MCI
440,Sávio 'Savinho' Moreira de Oliveira,65,68.5,33,3.0,1.8,a,1.14,MID,MCI
441,Nico O'Reilly,49,0.0,0,0.0,0.0,a,0.0,MID,MCI
442,Ilkay Gündogan,65,57.6,26,2.0,2.0,a,1.05,MID,MCI
443,Issa Kaboré,45,0.0,0,0.0,0.0,u,0.0,DEF,MCI
444,Jacob Wright,45,0.0,0,0.0,0.0,a,0.0,MID,MCI
445,Jahmai Simpson-Pusey,40,2.0,0,0.0,0.0,a,1.0,DEF,MCI
446,Josh Wilson-Esbrand,40,0.0,0,0.0,0.0,a,0.0,DEF,MCI
447,Amad Diallo,50,67.5,47,3.9,6.5,a,0.9,MID,MUN
448,Antony Matheus dos Santos,57,4.8,3,1.0,0.2,a,0.0,MID,MUN
449,Bruno Borges Fernandes,85,98.0,63,4.5,7.5,a,1.07,MID,MUN
450,Altay Bayindir,43,0.0,0,0.0,0.0,a,0.0,GKP,MUN
451,Carlos Henrique Casimiro,48,54.5,29,2.4,1.8,a,1.09,MID,MUN
452,Diogo Dalot Teixeira,52,44.3,48,3.4,2.5,a,1.03,DEF,MUN
